Word/Phrase,Type,Level,Meaning,Example Sentence from Video,Mnemonic
build your vocabulary,Collocation,B2,To increase the number of words you know,"I want to help you build your vocabulary by learning collocations.","BUILD like a BUILDING — you add bricks (words) one by one to make it taller."
develop your vocabulary,Collocation,B2,To improve and expand your word knowledge,"You should develop your vocabulary to sound more natural.","Think of DEVELOPING a photo — hidden details become clearer over time, just like new words reveal meaning."
expand your vocabulary,Collocation,B2,To make your vocabulary wider and broader,"Learning collocations will expand your vocabulary.","EXPAND = spread outward. Imagine your vocabulary stretching like an expanding universe."
considerable amount,Collocation,B2,A very large quantity of something,"Building your vocabulary takes a considerable amount of time.","CONSIDER + ABLE = something worth considering because it's so big."
considerable difference,Collocation,B2,A very significant change or impact,"Learning collocations will make a considerable difference.","Considerable = CONSIDERABLY big enough to turn heads."
considerable progress,Collocation,B2,A lot of advancement or improvement,"If you follow my lessons, you will make considerable progress.","Imagine a CONSIDERABLE distance covered on a progress bar — it's nearly full."
considerable influence,Collocation,B2,A great power to affect people or events,"Use your considerable influence to convince your colleagues.","CONSIDERable = so big, you must CONSIDER its weight."
give feedback,Collocation,B2,To share your opinion or evaluation of something,"You may give feedback or provide feedback to help improve something.","GIVE = hand over your thoughts like a gift wrapped in opinion."
provide feedback,Collocation,B2,To offer information or opinions about performance,"A teacher will provide feedback on your writing.","PROVIDE = supply. You supply your reaction like fuel."
offer feedback,Collocation,B2,To volunteer your comments or opinions,"She offered feedback on my presentation to help me improve.","OFFER = put on the table. Like laying your thoughts out for someone to pick up."
receive feedback,Collocation,B2,To get comments or evaluations from someone else,"I received feedback that my lesson was very helpful.","RE-CEIVE = take IN. You receive feedback like receiving a letter."
positive feedback,Collocation,B2,Comments that praise or encourage,"Overwhelmingly, people want to receive positive feedback.","POSITIVE = plus sign (+). Add good energy to someone's effort."
negative feedback,Collocation,B2,Comments that criticize or point out flaws,"Negative feedback is also important for growth.","NEGATIVE = minus sign (−). It subtracts comfort but can add improvement."
deeply worried,Collocation,B2,Extremely anxious or concerned about something,"I am deeply worried about aging.","DEEPLY = dig DOWN deep into worry. It's not surface-level — it's underground-level stress."
deeply concerned,Collocation,B2,Very seriously troubled or anxious,"The US is deeply concerned about an escalating conflict.","DEEPLY + CONCERNED: Imagine being so concerned you dig a hole worrying about it."
deeply flawed,Collocation,B2,Having very serious weaknesses or imperfections,"He's deeply flawed, and somehow we raised a child.","A DEEPLY cracked vase — the flaw goes all the way through."
deeply sorry,Collocation,B2,Sincerely and profoundly apologetic,"He is deeply sorry for what he did.","DEEPLY SORRY = sorry from the soul, not just the surface."
deeply moved,Collocation,B2,Strongly affected emotionally by something,"I told him I was deeply moved by that statement.","MOVED = emotion moved you so deeply you nearly fell over."
deeply in love,Collocation,B2,Very intensely in love with someone,"We were so deeply in love with each other.","DEEPLY IN LOVE = love went underground — all the way to your core."
controversial issue,Collocation,B2,A topic that causes strong disagreement,"They were debating a controversial issue in parliament.","CONTRO-VERSY = counter-version. Two opposing versions of the truth fighting it out."
controversial decision,Collocation,B2,A choice that many people disagree with,"He made a controversial decision that divided the team.","Imagine making a decision and the whole room SPLITS in two."
controversial figure,Collocation,B2,A person who causes disagreement or strong reaction,"She is a highly controversial figure in politics.","A FIGURE = shape. A controversial figure is one that casts a jagged shadow."
highly controversial,Collocation,B2,Causing very strong disagreement or debate,"This is a highly controversial topic in today's world.","HIGHLY = stacked high. The controversy piles up like a skyscraper."
conventional wisdom,Collocation,B2,The generally accepted belief or opinion,"Conventional wisdom suggests we should resume hostilities.","CONVENTIONAL = ordinary, common. Wisdom that has become the default setting of society."
wisdom tooth,Collocation,B2,The last molar teeth that grow in adulthood,"I'm getting my wisdom teeth pulled.","Called WISDOM teeth because they arrive when you're supposedly wiser (as an adult). Ironic if they hurt."
call a meeting,Collocation,C1,To arrange for a meeting to take place,"The manager decided to call an emergency meeting.","CALL = summon. You're calling everyone in, like calling your dog's name."
call for a strike,Collocation,C1,To formally demand that workers stop working,"Union leaders called for a strike after talks broke down.","CALL FOR = demand loudly. Imagine workers chanting as their leader CALLS FOR action."
call for an election,Collocation,C1,To officially announce that an election will take place,"The prime minister called for an election after losing support.","CALLING voters to the booth — the leader picks up the phone and calls for democracy."
call for a halt,Collocation,C1,To demand that something stops immediately,"Activists called for a halt to the logging of trees.","HALT = freeze! And someone's calling that command loudly."
tedious job,Collocation,C1,A boring or uninteresting piece of work,"Jury selection is tedious work.","TED-IOUS = imagine a very boring TED Talk you can't escape. That's tedious."
tedious task,Collocation,C1,A dull and repetitive activity,"It was the only way to get through yet another tedious and useless task.","TEDIOUS TASK = Two T's that together triple the boredom."
bubble over with excitement,Collocation,C1,To be overflowing with great enthusiasm,"I am bubbling over with excitement to teach more collocations.","Imagine boiling water — the BUBBLES are excitement OVERFLOWING the pot."
bubble over with enthusiasm,Collocation,C1,To show overflowing eagerness and energy,"She was bubbling over with enthusiasm for the new project.","BUBBLE = unstoppable upward energy. Add enthusiasm and it's a party."
burning desire,Collocation,C1,A very strong and intense wish for something,"Firefighters have passion; arsonists have a burning desire.","BURNING = fire in your chest. The desire is so hot it could ignite something."
burning ambition,Collocation,C1,An extremely strong motivation to succeed,"Her burning ambition to become CEO drove her forward.","AMBITION on FIRE — imagine your goal tied to a lit fuse."
burning issue,Collocation,C1,An urgent problem that must be addressed quickly,"There are many burning issues facing the country today.","BURNING = so hot it demands attention NOW before it turns into an inferno."
burning question,Collocation,C1,An important question that needs an urgent answer,"You look like a boy with a burning question.","The question is so HOT it's practically smoking — it can't wait."
capture the imagination,Collocation,C1,To fascinate or interest someone deeply,"This lesson has captured your imagination.","CAPTURE = trap. The idea traps your imagination like a butterfly in a jar."
capture the attention,Collocation,C1,To attract and hold someone's focus,"The speaker captured the audience's attention immediately.","CAPTURE ATTENTION = snatch it. Like a magician pulling focus."
capture the interest,Collocation,C1,To spark and maintain someone's curiosity,"I hope this lesson has captured your interest.","CAPTURE INTEREST = hook it. Like a fishing line reeling in your curiosity."
underlying cause,Collocation,C2,The real or hidden reason behind something,"The doctor examined the underlying cause of his illness.","UNDER + LYING = hiding underneath. The real cause is beneath the surface, lying low."
underlying condition,Collocation,C2,A pre-existing health issue that affects treatment,"The mortality rate depends upon underlying medical conditions.","Think of a hidden crack UNDER the foundation of a building."
underlying principle,Collocation,C2,The fundamental rule or belief behind something,"We must understand the underlying principle of this policy.","It's the BEDROCK — the principle lying under everything else."
underlying motivation,Collocation,C2,A hidden or non-obvious reason driving behavior,"Wanting to date in English might be an underlying motivation for learning.","UNDER = beneath awareness. The motivation lurks below the surface."
legal framework,Collocation,C2,A system of laws that governs a situation,"We need a legal framework to regulate the industry.","FRAME + WORK: Laws are the frame — the skeleton — that holds society's structure together."
regulatory framework,Collocation,C2,Rules and structures that control an industry,"The regulatory framework ensures businesses follow the rules.","REGULATE = control. The framework is the rulebook's bookshelf."
theoretical framework,Collocation,C2,A set of ideas used to explain or analyze something,"Researchers used a theoretical framework to interpret the data.","THEORY as a FRAME: ideas form the scaffolding around knowledge."
government expenditure,Collocation,C2,The total money spent by the government,"We need to examine government expenditure carefully.","EXPEND = spend. Government EXPENDITURE = the national credit card bill."
annual expenditure,Collocation,C2,The total amount of money spent in one year,"The company reviewed its annual expenditure last quarter.","ANNUAL = yearly. Every year you total up what you EXPENDED."
cut expenditure,Collocation,C2,To reduce the amount of money being spent,"We need to cut expenditures by 32%.","CUT = scissors through spending. Snip snip — the budget shrinks."
literal meaning,Collocation,C2,The original or exact meaning of a word or phrase,"Look up the literal meaning of that term.","LITERAL = the LETTER of what it says. No metaphor, no imagination — face value."
literal interpretation,Collocation,C2,An understanding based on the exact words used,"The judge applied a literal interpretation of the law.","LITERAL interpretation = reading the map exactly as printed, no creative routes."
finite resources,Collocation,C2,Resources that have a limited supply and will run out,"We must use our finite resources wisely.","FI-NITE = has a FINISH. Resources that will eventually end."
finite number,Collocation,C2,A number that has a definite limit,"There are only a finite number of opportunities.","FINITE = FIN (end in French). There's a definite ending point."
strongly condemn,Collocation,B2+,To express very strong disapproval of something,"World leaders strongly condemned the attack.","STRONGLY = with force. CONDEMN = sentence to blame. Powerful moral judgment."
strongly disagree,Collocation,B2+,To have a very firm opposing opinion,"I strongly disagree with that assessment.","STRONGLY DISAGREE = dig your heels in. Not budging an inch."
strongly suggest,Collocation,B2+,To firmly recommend a course of action,"I strongly suggest that you rewatch this lesson.","STRONGLY SUGGEST = politely firm. Still a suggestion but said through gritted teeth."
strongly recommend,Collocation,B2+,To very firmly advise someone to do something,"I strongly recommend visiting a doctor immediately.","STRONGLY RECOMMEND = even firmer. Not just advice — near-instruction."
strongly support,Collocation,B2+,To be very firmly in favor of something,"The committee strongly supports this proposal.","STRONGLY SUPPORT = stand behind something with both hands pushing."
fully aware,Collocation,B2+,Completely conscious and informed about something,"I am fully aware that you won't memorize all of these.","FULLY = 100%. AWARE = eyes wide open. Complete knowledge."
fully awake,Collocation,B2+,Completely alert and not sleepy,"I hope you are fully awake right now.","FULLY AWAKE = no trace of sleep. Coffee achieved maximum effect."
fully operational,Collocation,B2+,Working completely and at full capacity,"The machine is now fully operational.","FULLY OPERATIONAL = all systems go. Like a spaceship ready for launch."
absolutely amazed,Collocation,B2+,Completely astonished or surprised,"I was absolutely amazed when I saw the movie.","ABSOLUTELY = without any doubt. AMAZED = jaw dropped. No qualifier needed."
absolutely appalled,Collocation,B2+,Completely shocked and disgusted,"She was absolutely appalled by the rude comment.","APPALLED sounds like A-PALLED — like someone turned pale with shock."
utterly alone,Collocation,B2+,Completely and totally isolated,"After the breakup, he felt utterly alone.","UTTERLY = completely, with no exceptions. ALONE with an exclamation point."
utterly convinced,Collocation,B2+,Completely certain about something,"I am utterly convinced you will learn these collocations.","UTTERLY CONVINCED = belief cemented. No cracks, no doubts."
absolutely devastated,Collocation,B2+,Completely overwhelmed with grief or sadness,"We were absolutely devastated when we heard the news.","DEVASTATED = de-VAST-ated. Like a vast storm wiped everything away."
absolutely furious,Collocation,B2+,Extremely angry,"She was absolutely furious when she found out.","FURIOUS = fuming fire. ABSOLUTELY adds fuel to the flame."
absolutely miserable,Collocation,B2+,Extremely unhappy or uncomfortable,"I got soaking wet and felt absolutely miserable.","MISERABLE = sounds like MIS-ery +ERABLE = capable of feeling maximum misery."
absolutely ridiculous,Collocation,B2+,Completely unreasonable or absurd,"It was absolutely ridiculous what happened.","RIDICULOUS = RIDICULE + OUS. So silly it laughs at itself."
deeply concerned,Collocation,B2+,Very seriously troubled or worried,"People are deeply concerned about the situation.","DEEPLY CONCERNED = worry that goes to your bones."
deeply regret,Collocation,B2+,To feel very strong remorse about something,"I deeply regret saying that to her.","DEEPLY REGRET = the regret sinks into your chest and stays there."
deeply divided,Collocation,B2+,Very strongly split in opinion or belief,"People are so deeply divided on this issue.","DEEPLY DIVIDED = a canyon between two sides, not just a crack."
deeply ashamed,Collocation,B2+,Feeling very strong guilt or embarrassment,"She was deeply ashamed of her behavior.","DEEPLY ASHAMED = shame that sinks below the surface. Blush that goes inward."
highly unlikely,Collocation,B2+,Very improbable or almost impossible,"It is highly unlikely that this will happen.","HIGHLY UNLIKELY = probability meter near zero. The bar is set impossibly high against it."
highly recommend,Collocation,B2+,To strongly advise as the very best option,"I highly recommend trying this restaurant.","HIGHLY = top rating. RECOMMEND = best review. Five stars, no hesitation."
highly unusual,Collocation,B2+,Very strange or uncommon,"Her behavior was highly unusual for the circumstances.","HIGHLY UNUSUAL = so rare it floats above the normal range."
highly controversial,Collocation,B2+,Causing very intense disagreement,"The policy was highly controversial and sparked debate.","HIGHLY CONTROVERSIAL = controversy stacked to the ceiling."
highly sophisticated,Collocation,B2+,Very complex and advanced,"The technology is highly sophisticated.","SOPHIS-TICATED = wise + aged. HIGHLY adds extra layers of complexity."
highly educated,Collocation,B2+,Having a very high level of formal education,"She is a highly educated individual with a PhD.","HIGHLY EDUCATED = climbed all the way up the academic ladder."
highly intelligent,Collocation,B2+,Very smart and mentally sharp,"You are all highly intelligent learners.","HIGHLY = topped off. Intelligence meter: full."
highly paid,Collocation,B2+,Earning a very large salary,"She is highly paid for her expertise.","HIGH PAY = salary sitting in the penthouse of the pay scale."
grossly exaggerated,Collocation,C1+,Greatly overstated and far from the truth,"The story was grossly exaggerated by the media.","GROSS = disgusting exaggeration — so far from truth it's offensive."
grossly negligent,Collocation,C1+,Extremely careless or irresponsible,"The doctor was found grossly negligent in the case.","GROSS NEGLIGENCE = negligence so big it makes you say 'gross!'."
grossly inaccurate,Collocation,C1+,Very badly wrong or incorrect,"That report was grossly inaccurate.","GROSS INACCURACY = error so large it's uncomfortable to witness."
grossly unfair,Collocation,C1+,Extremely unjust or unreasonable,"The punishment was grossly unfair.","GROSSLY UNFAIR = fairness scale tipped so far it broke."
grossly mistreated,Collocation,C1+,Very seriously or severely treated badly,"The workers were grossly mistreated by management.","MISTREATED beyond measure — GROSSLY adds the extra layer of severity."
grossly underestimated,Collocation,C1+,Judged to be far less than the actual amount or ability,"We grossly underestimated the results.","Think: you guessed a GROSS number too low. Way off the mark."
mildly upset,Collocation,B2+,Slightly or moderately bothered or annoyed,"She was only mildly upset by the comment.","MILDLY = like mild salsa. Just a little heat, not buffalo sauce."
mildly concerned,Collocation,B2+,Slightly worried but not seriously alarmed,"He was mildly concerned about the weather forecast.","MILD concern = eyebrow slightly raised, not both."
mildly surprised,Collocation,B2+,Slightly taken aback or unexpectedly informed,"I was mildly surprised to see her there.","MILDLY SURPRISED = small eyes wide. Not a gasp, just a raised brow."
widely available,Collocation,B2+,Accessible in many places or to many people,"This product is widely available at most stores.","WIDELY = spread across a wide area. Available EVERYWHERE."
widely known,Collocation,B2+,Known by a lot of people in general,"It is widely known that exercise is good for health.","WIDELY KNOWN = knowledge broadcast across a wide signal."
widely accepted,Collocation,B2+,Believed or agreed upon by most people,"Evolution is widely accepted in the scientific community.","WIDELY ACCEPTED = hands raised everywhere in agreement."
perfectly normal,Collocation,B2+,Completely usual and not strange at all,"It is perfectly normal to make mistakes.","PERFECTLY NORMAL = textbook standard. Nothing to see here."
perfectly acceptable,Collocation,B2+,Completely fine and appropriate,"His behavior was perfectly acceptable in that context.","PERFECTLY ACCEPTABLE = passes all the tests. Zero complaints."
perfectly willing,Collocation,B2+,Completely happy and ready to do something,"I am perfectly willing to help you with that.","PERFECTLY WILLING = green light from all systems. Ready to go."
rough day,Collocation,B2,A difficult and unpleasant day,"We've had a bit of a rough day after the airline destroyed our stroller.","ROUGH = uneven surface. A rough day has lots of bumps and scratches."
rough draft,Collocation,B2,An early incomplete version of written work,"I've only done a rough draft so far.","ROUGH = unfinished. DRAFT = first attempt. Like sketching before painting."
rough estimate,Collocation,B2,An approximate guess or calculation,"Can you give me a rough estimate of the cost?","ROUGH = unpolished. The estimate has jagged edges — it's not exact."
rough neighborhood,Collocation,B2,A dangerous or unsafe area,"I grew up in a rough neighborhood.","ROUGH = uneven, dangerous. The neighborhood has sharp edges."
a touch of,Collocation,B2,A small amount of something,"We'll give it a touch of paint and it will be finished.","TOUCH = a finger's amount. Just a tiny contact of something."
finishing touch,Collocation,B2,The last small detail that completes something,"She added the finishing touches to the painting.","FINISHING TOUCH = the final stroke of the brush. The moment something becomes done."
nice touch,Collocation,B2,A detail that improves or enhances something,"Adding candles was a nice touch at the dinner.","NICE TOUCH = a gentle, welcome addition. Like a bow on a gift."
soft touch,Collocation,B2,A gentle and delicate way of handling something,"She has a soft touch when dealing with nervous patients.","SOFT TOUCH = velvet gloves. Delicate and comforting contact."
break a record,Collocation,B2,To do something better than anyone has done before,"Someday I hope to break a world record.","BREAK the old record like breaking a chain — free from the previous limit."
break a leg,Expression,B2,Good luck (informal theatrical expression),"Before the show, I told her to break a leg.","BREAK A LEG = twisted theater logic. Breaking = smashing success. Legs = stage presence."
break a promise,Collocation,B2,To fail to do what you said you would do,"I hope you don't break your promise to me.","BREAK = shatter. A broken promise is like broken glass — hard to fix."
break the ice,Idiom,B2,To make a social situation more relaxed and comfortable,"I do activities on the first day to break the ice.","ICE = cold tension. Breaking it warms things up. Social thaw."
break the law,Collocation,B2,To do something that is illegal,"I hope that you never break the law.","BREAK THE LAW = shatter the rule that holds society together. Dangerous."
do someone a favor,Collocation,B2,To do something helpful for another person,"I need you to do me a huge favor.","FAVOR = a gift of effort. You DO it for them — no cost to them."
do housework,Collocation,B2,To do cleaning and other chores around the home,"Nobody wants to do housework but it needs to be done.","HOUSEWORK = the job your HOUSE demands of you."
do the laundry,Collocation,B2,To wash clothes,"She's going to do her hair and nails and then do the laundry.","DO THE LAUNDRY = fulfilling the contract your dirty clothes wrote."
do the dishes,Collocation,B2,To wash plates, cups, and utensils after eating,"Can you do the dishes tonight?","DO THE DISHES = the dishes call you by name after every meal."
do your best,Collocation,B2,To try as hard as you possibly can,"I just want you to do your best.","DO YOUR BEST = give 100%. No more, no less — just everything you've got."
do harm,Collocation,B2,To cause damage or hurt to someone or something,"You don't want to do harm to others.","DO HARM = an action that damages. Doing when you shouldn't."
spend time,Collocation,B2,To use time on a particular activity,"I spend too much time editing these videos.","SPEND TIME = time is currency. Once spent, it's gone."
waste time,Collocation,B2,To use time on useless or unimportant activities,"You're certainly not wasting your time learning collocations.","WASTE TIME = throw your minutes in the bin."
kill time,Collocation,B2,To do something unimportant while waiting,"I walked around the mall to kill time.","KILL TIME = commit temporal murder. Time dies so you can survive waiting."
pass the time,Collocation,B2,To do something to occupy yourself while waiting,"I like to read books to pass the time.","PASS THE TIME = hand time a ticket to move along. Keep it moving."
right on time,Expression,B2,Arriving or happening at exactly the correct moment,"I try to be right on time, but it doesn't always happen.","RIGHT ON TIME = bullseye timing. Hit the clock dead center."
run out of gas,Collocation,B2,To have no fuel remaining in the vehicle,"The car is about to run out of gas.","RUN OUT = chase until empty. The tank ran and emptied itself."
run out of patience,Collocation,B2,To no longer be able to tolerate a situation calmly,"Be careful — I'm running out of patience.","PATIENCE meter emptying like an hourglass. Sand nearly gone."
run out of time,Collocation,B2,To have no more time available,"We ran out of time before finishing the project.","TIME RAN AWAY. You chased it but it escaped."
make coffee,Collocation,A2,To prepare coffee for drinking,"In the morning, I usually make some coffee.","MAKE = create. Coffee doesn't exist until you MAKE it happen."
make a plan,Collocation,A2,To decide on a course of action,"We need to make a plan before starting the project.","MAKE A PLAN = construct a roadmap. Blueprint before building."
make a decision,Collocation,A2,To choose between options and commit to one,"You need to make a decision soon.","MAKE A DECISION = forge a choice. Like casting it in metal — firm."
make a mistake,Collocation,A2,To do something incorrectly or wrongly,"It's perfectly normal to make mistakes.","MAKE A MISTAKE = accidentally create an error. It was made, not chosen."
make a promise,Collocation,A2,To commit to doing something for someone,"You can make a promise and then break it.","MAKE A PROMISE = build a verbal contract. Handle with care."
make money,Collocation,A2,To earn income from work or business,"Someday I hope to make a lot of money.","MAKE MONEY = your effort produces currency. Like minting your own coins."
make a living,Expression,A2,To earn enough money to support yourself,"That's how people make a living.","MAKE A LIVING = craft your survival. Every job builds this."
make an excuse,Collocation,A2,To give a false or weak reason for something,"If you break a promise, you can always make an excuse.","MAKE AN EXCUSE = manufacture a reason. Factory output: not entirely true."
waste money,Collocation,B1,To spend money carelessly on unimportant things,"You shouldn't be wasting money on things you don't need.","WASTE MONEY = pour it down the drain. Gone with nothing to show."
invest money,Collocation,B1,To put money into something expecting a return,"You can invest money in stocks or real estate.","INVEST = plant money like a seed. Expect growth later."
donate money,Collocation,B1,To give money to a charity or good cause,"If you're feeling charitable, you can donate money.","DONATE = give with an open palm. No strings, no return expected."
save money,Collocation,B1,To keep money rather than spending it,"It's always a good idea to save money.","SAVE MONEY = rescue it from spending. Put it in protective custody."
set aside money,Collocation,B1,To reserve money for a specific purpose,"We try to set aside some money for a rainy day.","SET ASIDE = move it out of reach of temptation. Reserved."